Navn;Ejd_beliggenhed;CVR;KOMMUNE_NR;EJD_NR;Andel;delta_Ejendoms_værdi;delta_Grund_værdi;delta_Stuehus_værdi;delta_Stuehus_Grund_værdi;Vurdering_Aktuel;Ejendoms_værdi_Aktuel;Grund_Værdi_Aktuel;Stuehus_Værdi_Aktuel;Stuehus_grundværdi_Aktuel;Historisk_vurdering;Historisk_ejendomsværdi;Historisk_grundværdi;Historisk_stuehusværdi;Historisk_stuehus_grundværdi;Elavskode;Matrnr
Middelfart Kommune;Gelstedvej 29 - Skole;29189684;410;1007;100;5500000;-1800;0;0;2016;21800000;1504600;0;0;2004;16300000;1506400;0;0;400851;8BQ
Middelfart Kommune;Gelstedvej 29 - Skole;29189684;410;1007;100;5500000;-1800;0;0;2016;21800000;1504600;0;0;2004;16300000;1506400;0;0;400851;8BQ
Middelfart Kommune;Gelstedvej 29 - Skole;29189684;410;1007;100;5500000;-1800;0;0;2016;21800000;1504600;0;0;2004;16300000;1506400;0;0;400851;8BT
Middelfart Kommune;Gelstedvej 29 - Skole;29189684;410;1007;100;5500000;-1800;0;0;2016;21800000;1504600;0;0;2004;16300000;1506400;0;0;400851;8BT
Middelfart Kommune;Gelstedvej 29 - Skole;29189684;410;1007;100;5500000;-1800;0;0;2016;21800000;1504600;0;0;2004;16300000;1506400;0;0;400851;8BT
Middelfart Kommune;Gelstedvej 29 - Skole;29189684;410;1007;100;5500000;-1800;0;0;2016;21800000;1504600;0;0;2004;16300000;1506400;0;0;400851;8BT
Middelfart Kommune;Gelstedvej 29 - Skole;29189684;410;1007;100;5500000;-1800;0;0;2016;21800000;1504600;0;0;2004;16300000;1506400;0;0;400851;8BU
Middelfart Kommune;Gelstedvej 29 - Skole;29189684;410;1007;100;5500000;-1800;0;0;2016;21800000;1504600;0;0;2004;16300000;1506400;0;0;400851;8BU
Middelfart Kommune;Gelstedvej 29 - Skole;29189684;410;1007;100;5500000;-1800;0;0;2016;21800000;1504600;0;0;2004;16300000;1506400;0;0;400851;8BU
Middelfart Kommune;Gelstedvej 29 - Skole;29189684;410;1007;100;5500000;-1800;0;0;2016;21800000;1504600;0;0;2004;16300000;1506400;0;0;400851;8BU
